visibility,altitude,date,TDB,eclipse_type
not_visible,-54.12498536914396,1589-08-25,2301667.278039239,Partial
not_visible,-28.547217220378602,1590-01-20,2301815.1620282508,Penumbral
visible,26.72526544802345,1590-07-17,2301992.673536729,Partial
not_visible,-26.24390841013358,1591-01-09,2302169.2634233665,Partial
not_visible,-70.96211173734174,1591-07-06,2302347.1871257015,Total
visible,68.13773673223868,1591-12-30,2302523.667048813,Total
not_visible,-30.798295661309037,1592-06-24,2302701.4028968094,Partial
not_visible,-20.980154576807077,1592-12-18,2302878.282604291,Partial
visible,17.45704771943079,1593-05-15,2303025.8300134786,Penumbral
not_visible,-23.18407031724684,1593-06-13,2303055.4304278344,Penumbral
visible,5.097220098897157,1593-11-08,2303203.4319633627,Penumbral
visible,22.10940505083435,1593-12-08,2303232.922527115,Penumbral
not_visible,-50.676579267975015,1594-05-04,2303380.1060255524,Partial
visible,54.009094503372836,1594-10-29,2303557.766457057,Partial
visible,33.965844322470836,1595-04-24,2303734.6643789327,Total
visible,39.43566999783955,1595-10-18,2303911.8194938176,Total
not_visible,-33.72156987950015,1596-04-12,2304089.3579663653,Partial
visible,36.07770162563846,1596-10-06,2304265.823005599,Partial
visible,16.134195592087053,1597-03-04,2304414.5117190965,Penumbral
visible,31.07444527198376,1597-08-27,2304590.6310619316,Penumbral
not_visible,-30.583845991141924,1597-09-25,2304620.070002655,Penumbral
visible,59.42557497990125,1598-02-21,2304768.7329375707,Partial
not_visible,-55.425297333250526,1598-08-16,2304945.28329074,Total
visible,63.1841946440663,1599-02-10,2305122.7184419776,Total
not_visible,-19.02449741520463,1599-08-06,2305299.9875471205,Total
visible,60.92863928110152,1600-01-30,2305476.7676683995,Partial
not_visible,-53.24970330811599,1600-06-26,2305625.0957639776,Penumbral
visible,9.54047214137625,1600-07-26,2305654.5508774607,Penumbral
visible,55.288961687812204,1600-12-20,2305801.605473574,Penumbral
not_visible,-21.149329829380182,1601-01-18,2305831.1057936735,Penumbral
not_visible,-71.541796256637,1601-06-15,2305979.235789338,Partial
not_visible,-24.872031257515317,1601-12-09,2306156.2489715293,Partial
not_visible,-65.21555262144041,1602-06-04,2306333.262624154,Total
visible,36.65200082629814,1602-11-29,2306510.8613940636,Total
not_visible,-7.3657154247522945,1603-05-24,2306687.479778273,Partial
not_visible,-28.326976455713176,1603-11-18,2306865.257276527,Partial
visible,35.36404603813586,1604-04-14,2307012.657681966,Penumbral
not_visible,-22.33903921631363,1604-05-13,2307041.9928874234,Penumbral
visible,44.38302839107151,1604-10-08,2307189.603943311,Penumbral
