visibility,altitude,date,TDB,eclipse_type
visible,63.610469905111536,1713-12-02,2347055.636885005,Partial
visible,19.57921799450511,1714-05-29,2347233.795153627,Total
visible,63.8994002612608,1715-11-11,2347764.6668195515,Partial
visible,38.99074086173129,1717-03-27,2348266.634478567,Partial
visible,38.21266815369218,1719-03-06,2348975.8327735877,Partial
visible,8.25731713762427,1721-07-09,2349831.8609394534,Total
visible,11.001031773506874,1722-06-29,2350186.575855372,Total
visible,14.61802597386177,1724-05-08,2350865.8470066567,Partial
visible,57.961240956884,1724-11-01,2351042.6431312994,Partial
visible,14.069938104009772,1725-04-27,2351219.859117573,Total
visible,56.27808358939604,1726-10-11,2351751.694798885,Partial
visible,46.666003370775,1728-02-25,2352253.808596107,Partial
visible,10.432815052280523,1729-08-09,2352784.545310222,Total
visible,60.02023427525568,1730-02-03,2352962.663687906,Partial
visible,10.687114070126903,1731-06-20,2353464.5761675485,Partial
visible,6.121532822845451,1731-12-13,2353640.984766773,Partial
visible,1.523609039845797,1732-12-01,2353995.4025516217,Total
visible,30.271549293228723,1735-10-02,2355029.5549941263,Partial
visible,9.322980178991443,1736-03-27,2355206.504068612,Total
visible,39.59812960420399,1736-09-20,2355383.6187374666,Total
visible,38.1870483164252,1737-09-09,2355737.641790166,Partial
visible,12.098028181045766,1739-01-24,2356240.4681957667,Partial
visible,7.197149907571965,1740-01-13,2356594.4399453253,Total
visible,2.7442100714257536,1740-07-09,2356771.884194296,Total
visible,22.746669331307494,1741-01-01,2356948.49101576,Partial
visible,54.343301367716215,1743-11-02,2357982.6197965336,Total
visible,2.334824352133328,1746-08-30,2359015.4918339173,Partial
visible,57.86432119210395,1747-02-25,2359193.7206173185,Total
visible,17.410936899446533,1747-08-20,2359369.8520591534,Total
visible,2.0988202422866276,1749-06-30,2360049.881429977,Partial
visible,63.69312314527491,1750-12-13,2360580.7651008363,Total
visible,11.703933554515066,1751-06-09,2360758.570795625,Partial
visible,25.322794364693912,1753-10-12,2361614.8690626733,Partial
visible,24.65033978186222,1754-04-07,2361791.8388823285,Total
visible,10.217624936408082,1754-10-01,2361968.915579524,Total
visible,15.13191548571325,1755-03-28,2362146.525272457,Partial
visible,1.0303419629152686,1755-09-20,2362322.9403539305,Partial
visible,52.21379238855831,1757-02-04,2362825.8033764097,Partial
visible,61.37593147027312,1758-01-24,2363179.7737523643,Total
visible,47.12655145791384,1759-01-13,2363533.8378908467,Partial
visible,4.173097919462215,1761-11-12,2364567.9692777004,Total
visible,28.913845896208347,1762-05-08,2364744.656652549,Partial
visible,12.245355206906499,1764-03-18,2365424.5076807467,Partial
visible,35.06410276378368,1764-09-10,2365600.7905858466,Partial
visible,29.319596431704852,1766-08-20,2366309.7928413567,Partial
visible,71.18188444184241,1768-01-04,2366811.687153709,Partial
visible,23.247314568503118,1768-06-30,2366989.664097284,Total
visible,10.939975943445733,1769-06-19,2367343.8414075025,Total
visible,63.91718309364563,1769-12-13,2367520.7618338466,Partial
visible,20.945136849789776,1771-04-29,2368022.5862053437,Partial
visible,19.40116192214775,1773-04-07,2368731.8635295904,Partial
visible,25.361376846594307,1775-08-11,2369587.802599405,Partial
visible,68.6577368072272,1778-12-04,2370798.7276742226,Partial
visible,26.973522162851143,1779-05-30,2370975.702875372,Total
visible,66.97061356016528,1780-11-12,2371507.6804423765,Partial
visible,25.971901318974048,1782-03-29,2372009.849381297,Partial
visible,3.4393692481140277,1783-09-10,2372540.4813064146,Total
visible,48.220790578668826,1784-03-07,2372718.6525490177,Partial
visible,23.297749547744957,1787-01-03,2373751.4955525543,Total
visible,1.8777486604568587,1789-05-09,2374607.8948735576,Partial
visible,27.887846062162428,1789-11-03,2374785.5118483994,Partial
visible,0.5248807863820989,1790-04-28,2374962.4955734294,Total
visible,29.341363929657643,1790-10-23,2375139.528230654,Total
visible,33.33465235225798,1791-10-12,2375493.557859711,Partial
visible,2.5718836847577187,1793-02-25,2375996.4580071117,Partial
visible,23.36252653332425,1794-08-11,2376527.812033541,Total
visible,26.742623929026852,1795-02-04,2376704.5275860657,Partial
visible,70.21226558072853,1797-12-04,2377738.6791159613,Total
visible,44.70902183751642,1801-03-30,2378949.7250396567,Total
visible,35.74702409015347,1801-09-22,2379125.804783202,Total
visible,40.105985851139934,1805-01-15,2380336.861761575,Total
visible,24.543819082043388,1806-01-05,2380691.501411559,Partial
visible,39.85759962070449,1807-11-15,2381370.840245698,Partial
visible,19.00494794062606,1808-05-10,2381547.8182222894,Total
visible,36.63330314297239,1808-11-03,2381724.842788429,Total
visible,7.625123687268858,1809-04-30,2381902.5229302654,Partial
visible,24.81215477808757,1809-10-23,2382078.8769052173,Partial
visible,47.10272831749811,1811-03-10,2382581.776130612,Partial
visible,55.186192621985626,1812-02-27,2382935.7533557676,Total
visible,34.325332237887146,1813-02-15,2383289.8685715916,Partial
visible,25.108139056020956,1813-08-12,2383467.6199902003,Partial
visible,15.539688458829067,1814-12-26,2383969.4641848486,Partial
visible,7.081217418023703,1816-06-10,2384500.5516664423,Total
